*****************************
Basic coeficients
*****************************
Alpha, Cd
   19.00    ,   -.2716    
   20.00    ,   -.2716    
   21.00    ,   -.2716    
   22.00    ,   -.2716    
   24.00    ,   -.2716    

Alpha, CLad_Basic
  -16.00    ,    .3014E-01
  -8.000    ,    .3775E-01
  -6.000    ,    .4026E-01
  -4.000    ,    .4129E-01
  -2.000    ,    .4223E-01
    .000    ,    .4338E-01
   2.000    ,    .4447E-01
   4.000    ,    .4447E-01
   8.000    ,    .3983E-01
   9.000    ,    .3776E-01
   10.00    ,    .3349E-01
   12.00    ,    .1922E-01
   14.00    ,    .7839E-02
   16.00    ,    .5609E-02
   18.00    ,    .8872E-02
   19.00    ,    .1256E-01
   20.00    ,    .1337E-01
   21.00    ,    .1355E-01
   22.00    ,    .1575E-01
   24.00    ,    .1584E-01

Alpha, Cmad_Basic
  -16.00    ,   -.8477E-01
  -8.000    ,   -.1062    
  -6.000    ,   -.1132    
  -4.000    ,   -.1161    
  -2.000    ,   -.1188    
    .000    ,   -.1220    
   2.000    ,   -.1251    
   4.000    ,   -.1251    
   8.000    ,   -.1120    
   9.000    ,   -.1062    
   10.00    ,   -.9419E-01
   12.00    ,   -.5405E-01
   14.00    ,   -.2205E-01
   16.00    ,   -.1577E-01
   18.00    ,   -.2495E-01
   19.00    ,   -.3532E-01
   20.00    ,   -.3760E-01
   21.00    ,   -.3810E-01
   22.00    ,   -.4429E-01
   24.00    ,   -.4455E-01

Alpha, Clp
  -16.00    ,   -.4682E-02
  -8.000    ,   -.8005E-02
  -6.000    ,   -.8398E-02
  -4.000    ,   -.8315E-02
  -2.000    ,   -.8271E-02
    .000    ,   -.8319E-02
   2.000    ,   -.8360E-02
   4.000    ,   -.8058E-02
   8.000    ,   -.5874E-02
   9.000    ,   -.5043E-02
   10.00    ,   -.4272E-02
   12.00    ,   -.1301E-02
   14.00    ,    .2002E-02
   16.00    ,    .2176E-02
   18.00    ,    .9521E-03
   19.00    ,    .6873E-03
   20.00    ,   -.3569E-03
   21.00    ,   -.1218E-02
   22.00    ,   -.1050E-02
   24.00    ,   -.8561E-03

Alpha, Cyp
  -16.00    ,   -.7457E-03
  -8.000    ,   -.1174E-02
  -6.000    ,   -.1353E-02
  -4.000    ,   -.1520E-02
  -2.000    ,   -.1682E-02
    .000    ,   -.1843E-02
   2.000    ,   -.2004E-02
   4.000    ,   -.2170E-02
   8.000    ,   -.2456E-02
   9.000    ,   -.2498E-02
   10.00    ,   -.2526E-02
   12.00    ,   -.2592E-02
   14.00    ,   -.2550E-02
   16.00    ,   -.2267E-02
   18.00    ,   -.1958E-02
   19.00    ,   -.1846E-02
   20.00    ,   -.1707E-02
   21.00    ,   -.1629E-02
   22.00    ,   -.1572E-02
   24.00    ,   -.1445E-02

Alpha, Cnp
  -16.00    ,    .1711E-02
  -8.000    ,    .8038E-03
  -6.000    ,    .5261E-03
  -4.000    ,    .2629E-03
  -2.000    ,   -.6993E-06
    .000    ,   -.2674E-03
   2.000    ,   -.5379E-03
   4.000    ,   -.8218E-03
   8.000    ,   -.1416E-02
   9.000    ,   -.1555E-02
   10.00    ,   -.1684E-02
   12.00    ,   -.1972E-02
   14.00    ,   -.2097E-02
   16.00    ,   -.2048E-02
   18.00    ,   -.2037E-02
   19.00    ,   -.2047E-02
   20.00    ,   -.2038E-02
   21.00    ,   -.2063E-02
   22.00    ,   -.2114E-02
   24.00    ,   -.2203E-02

Alpha, Cnr
  -16.00    ,   -.1916E-02
